"","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y"
"36379","Charadrius vociferus","Agassiz--Tuyttens Rd. Wetlands",1,"2017-09-27 07:30","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-09-27,"BC",4101555.75529272,1956174.87191023
"36487","Charadrius vociferus","Edmonton--Poplar Lake",5,"2017-09-13 16:02","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-09-13,"AB",4820083.58561711,2177456.85863384
"36576","Charadrius vociferus","White Rock Pier",12,"2017-12-27 14:45","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-12-27,"BC",4025324.96557569,1970644.99748289
"36583","Charadrius vociferus","White Rock Pier",1,"2018-01-03 13:00","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2018-01-03,"BC",4025368.33825039,1970749.50216611
"36600","Charadrius vociferus","1000 Cambie Street, Vancouver, British Columbia, CA (49.271, -123.115)",1,"2018-01-16 17:40","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2018-01-16,"BC",4018616.74631646,2005991.38487302
"36630","Charadrius vociferus","AB--Sturgeon County--Hwy 37/RR 250A/ Sturgeon River Crossing",1,"2017-08-10","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-10,"AB",4817540.63945912,2187272.56461189
"36640","Charadrius vociferus","Cooking Lake",2,"2017-08-22","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-22,"AB",4837650.63291609,2145286.9641471
"36650","Charadrius vociferus","Harrison Hot Springs--Beach & town",6,"2017-09-12 08:25","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-09-12,"BC",4105980.13553438,1964528.91933387
"36667","Charadrius vociferus","Granville stormwater pond N of Granville Link and Glastonbury Blvd",2,"2017-08-12","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-12,"AB",4802066.70452227,2168297.80584159
"36691","Charadrius vociferus","(52.205, -113.817)",2,"2017-10-27 16:15","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-10-27,"AB",4745472.89885251,2036932.51694095
"36706","Charadrius vociferus","Cooking lake",2,"2017-08-09","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-09,"AB",4838410.02282686,2144932.33559952
"36718","Charadrius vociferus","Alaksen National Wildlife Area",12,"2017-12-14 12:47","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-12-14,"BC",4006009.57458003,1991424.89244491
"36721","Charadrius vociferus","CA-AB-55114-55198 Range Road 230 (53.7419,-113.2729)",4,"2017-08-30","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-30,"AB",4835836.04487242,2183913.7253612
"36731","Charadrius vociferus","Spring Lake",1,"2017-08-06","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-06,"AB",4774906.38974578,2179865.93754734
"36734","Charadrius vociferus","Jackman Wetlands",6,"2017-11-11 08:20","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-11-11,"BC",4046474.43490916,1959716.54538112
"36738","Charadrius vociferus","Cooking Lake",5,"2017-08-11","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-11,"AB",4837650.63291609,2145286.9641471
"36844","Charadrius vociferus","184th Street Bridge 4457-4701 184 Street, Surrey, British Columbia, CA (49.086, -122.713)",1,"2017-09-15 16:38","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-09-15,"BC",4034759.57118593,1974067.81656601
"36851","Charadrius vociferus","Cooking Lake",2,"2017-08-19","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-19,"AB",4837650.63291609,2145286.9641471
"36866","Charadrius vociferus","Sherwood Park--Centennial Park",1,"2017-08-30","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-30,"AB",4827184.60042997,2165297.74075336
"36874","Charadrius vociferus","Cooking Lake",15,"2017-08-20","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-20,"AB",4837650.63291609,2145286.9641471
"36893","Charadrius vociferus","RR12 Gravel Parkland County",1,"2017-08-07","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-07,"AB",4779376.15389952,2176424.45515421
"36920","Charadrius vociferus","AB Cooking Lake",1,"2017-08-16","Killdeer","ncbi","Charadrius vociferus","Charadrius vociferus","Charadrius","Charadriidae","Charadriiformes",2017-08-16,"AB",4834704.73686495,2147702.00056619
